location,date,total_cases_per_million,total_deaths_per_million,reproduction_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests,total_vaccinations,people_vaccinated_per_million,people_vaccinated,total_boosters,stringency_index,vaccination_rates,vaccination_result,population,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,human_development_index,excess_mortality_cumulative_per_million
Kosovo,8/1/21,60863.076,1273.206,0.00000204,,,0.738571,,,,,32.41,,,1782115,,9795.834,0.0000006,,,,,,,,
Kuwait,8/1/21,92071.877,537.824,0.00000078,,,3.417022,,,,,49.07,,,4328553,2.345,65530.537,,0.000132235,0.00001584,0.0000027,0.000037,,0.000002,0.806,
Kyrgyzstan,8/1/21,24718.983,352.275,0.00000082,,,,0.57949,0.461947,461947,,57.41,6.969263981,very low,6628347,4.489,3393.474,0.0000014,0.000436362,0.00000711,0.0000036,0.0000505,89.22,0.0000045,0.697,
Laos,8/1/21,889.779,0.949,0.00000126,,,0.109862,,,,,48.15,,,7379358,4.029,6397.36,0.0000227,0.000368111,0.000004,0.0000073,0.0000512,49.839,0.0000015,0.613,
Latvia,8/1/21,74399.523,1369.09,0.0000012,3.214,19.283,3.090142,1.322471,0.735684,735684,0.000025,41.67,39.40599936,low,1866934,19.754,25063.846,0.0000007,0.00035006,0.00000491,0.0000256,0.000051,,0.00000557,0.866,1747.678279
Lebanon,8/1/21,83101.559,1168.389,0.00000134,,,,1.949258,1.114578,1114578,,65.74,16.46555085,very low,6769151,8.514,13367.565,,0.000266591,0.00001271,0.0000269,0.0000407,,0.0000029,0.744,
Lesotho,8/1/21,6300.407,174.612,0.00000072,,,,,,,,60.19,,,2159067,4.506,2851.153,0.0000596,0.000405126,0.00000394,0.0000004,0.0000539,2.117,,0.527,
Liberia,8/1/21,1043.201,28.57,0.00000065,,,,,,,,46.3,,,5180208,3.057,752.788,0.0000386,0.000272509,0.00000242,0.0000015,0.0000181,1.188,0.0000008,0.48,
Libya,8/1/21,36420.869,509.877,0.0000011,,,,,,,,64.81,,,6958538,4.424,17881.509,,0.000341862,0.00001043,,,,0.0000037,0.724,
Liechtenstein,8/1/21,83389.972,1516.181,0.00000125,,,0.05762,,,,,44.44,,,38254,,,,,0.00000777,,,,0.000002397,0.919,
Lithuania,8/1/21,105215.807,1641.72,0.00000151,,60.598,4.201065,2.586256,1.415924,1415924,0.000388,29.63,52.63928038,high,2689862,19.002,29524.265,0.0000007,0.000342989,0.00000367,0.0000213,0.000038,,0.00000656,0.882,3781.94123
Low income,8/1/21,1629.988,43.449,,,,,10.52865,7.841992,7841992,,,1.178982683,very low,665149040,,,,,,,,,,,
Lower middle income,8/1/21,15433.05,262.721,,,,,733.470023,547.130476,547130476,,,16.42712555,very low,3330652550,,,,,,,,,,,
Luxembourg,8/1/21,116364.793,1294.867,0.00000088,11.027,39.382,3.292327,,,,,37.96,,,634814,14.312,94277.965,0.0000002,0.000128275,0.00000442,0.0000209,0.000026,,0.00000451,0.916,7.876322828
Macao,8/1/21,89.612,,,,,,0.513239,0.285858,285858,,31.48,43.41766519,low,658391,9.798,104861.851,,,,,,,,,
Madagascar,8/1/21,1500.844,33.172,0.00000068,,,0.227523,,,,,53.7,,,28427333,2.929,1416.44,0.0000776,0.000405994,0.00000394,,,50.54,0.0000002,0.528,
Malawi,8/1/21,2678.739,84.539,0.00000093,,,,0.594333,0.454752,454752,,42.59,2.314532692,very low,19647681,2.979,1095.042,0.0000714,0.000227349,0.00000394,0.0000044,0.0000247,8.704,0.0000013,0.483,
Malaysia,8/1/21,34489.116,280.203,0.00000117,43.416,412.189,21.75728,21.609848,14.515421,14515421,,85.19,44.28647377,low,32776195,6.293,26808.164,0.0000001,0.000260942,0.00001674,0.000001,0.0000424,,0.0000019,0.81,
Maldives,8/1/21,142649.277,406.534,0.00000098,,,1.204433,0.59512,0.323568,323568,,,59.52098893,high,543620,4.12,15183.616,,0.000164905,0.00000919,0.0000021,0.000055,95.803,,0.74,
Mali,8/1/21,699.424,25.557,0.00000116,,,,,,,,8.33,,,20855724,2.519,2014.306,,0.000268024,0.00000242,0.0000016,0.000023,52.232,0.0000001,0.434,
